1,King Lear,Royal Theater,Toronto,2025-01-31,Olivia Davis
2,King Lear,Royal Theater,London,2025-01-16,Olivia Davis
3,King Lear,Majestic Arts,London,2025-01-06,Liam Brown
4,King Lear,Grand Stage,London,2025-01-21,Liam Brown
5,Death of a Salesman,Heritage Playhouse,Berlin,2025-02-15,John Smith
6,Othello,Majestic Arts,Berlin,2025-02-10,John Smith
7,King Lear,Heritage Playhouse,London,2025-02-05,Emma Johnson
8,A Midsummer Night's Dream,Heritage Playhouse,New York,2025-01-31,John Smith
9,Othello,Royal Theater,London,2025-02-05,Liam Brown
10,Death of a Salesman,Grand Stage,Toronto,2025-02-05,Olivia Davis
11,Hamlet,Majestic Arts,Toronto,2025-02-10,Liam Brown
12,Death of a Salesman,Heritage Playhouse,London,2025-02-05,Liam Brown
13,Othello,Royal Theater,New York,2025-02-15,John Smith
14,King Lear,Apollo Hall,Berlin,2025-02-15,Olivia Davis
15,Othello,Majestic Arts,New York,2025-02-05,Olivia Davis
16,King Lear,Majestic Arts,New York,2025-02-10,Olivia Davis
17,Hamlet,Grand Stage,Toronto,2025-01-21,Emma Johnson
18,A Midsummer Night's Dream,Grand Stage,Toronto,2025-02-05,John Smith
19,Death of a Salesman,Majestic Arts,London,2025-01-16,William Garcia
20,A Midsummer Night's Dream,Apollo Hall,Berlin,2025-01-06,William Garcia
